username,item_id
10000@novasbe.pt,236
10000@novasbe.pt,58
10000@novasbe.pt,28
10000@novasbe.pt,70
10000@novasbe.pt,104
10000@novasbe.pt,36
10000@novasbe.pt,151
10000@novasbe.pt,108
10000@novasbe.pt,119
10000@novasbe.pt,102
10001@novasbe.pt,239
10001@novasbe.pt,69
10001@novasbe.pt,23
10001@novasbe.pt,27
10001@novasbe.pt,216
10001@novasbe.pt,165
10001@novasbe.pt,11
10001@novasbe.pt,242
10002@novasbe.pt,16
10002@novasbe.pt,21
10002@novasbe.pt,232
10002@novasbe.pt,158
10002@novasbe.pt,101
10002@novasbe.pt,178
10002@novasbe.pt,103
10003@novasbe.pt,66
10003@novasbe.pt,150
10003@novasbe.pt,195
10003@novasbe.pt,203
10003@novasbe.pt,62
10003@novasbe.pt,44
10003@novasbe.pt,160
10004@novasbe.pt,101
10004@novasbe.pt,19
10004@novasbe.pt,42
10004@novasbe.pt,204
10004@novasbe.pt,76
10004@novasbe.pt,27
10004@novasbe.pt,110
10005@novasbe.pt,120
10005@novasbe.pt,48
10005@novasbe.pt,21
10005@novasbe.pt,46
10005@novasbe.pt,147
10005@novasbe.pt,207
10006@novasbe.pt,63
10006@novasbe.pt,120
10006@novasbe.pt,199
10006@novasbe.pt,230
10006@novasbe.pt,47
10006@novasbe.pt,240
10006@novasbe.pt,228
10006@novasbe.pt,131
10007@novasbe.pt,98
10007@novasbe.pt,137
10007@novasbe.pt,75
10007@novasbe.pt,166
10007@novasbe.pt,216
10007@novasbe.pt,201
10007@novasbe.pt,24
10008@novasbe.pt,112
10008@novasbe.pt,79
10008@novasbe.pt,12
10008@novasbe.pt,38
10008@novasbe.pt,195
10008@novasbe.pt,109
10008@novasbe.pt,5
10009@novasbe.pt,204
10009@novasbe.pt,235
10009@novasbe.pt,214
10009@novasbe.pt,218
10009@novasbe.pt,139
10009@novasbe.pt,79
10009@novasbe.pt,167
10009@novasbe.pt,189
10009@novasbe.pt,155
10009@novasbe.pt,53
10010@novasbe.pt,168
10010@novasbe.pt,190
10010@novasbe.pt,201
10010@novasbe.pt,101
10010@novasbe.pt,220
10011@novasbe.pt,137
10011@novasbe.pt,115
10011@novasbe.pt,1
10011@novasbe.pt,49
10011@novasbe.pt,65
10011@novasbe.pt,197
10012@novasbe.pt,115
10012@novasbe.pt,110
10012@novasbe.pt,76
10012@novasbe.pt,71
10012@novasbe.pt,160
10012@novasbe.pt,52
10012@novasbe.pt,83
10012@novasbe.pt,77
10012@novasbe.pt,171
10012@novasbe.pt,215
10013@novasbe.pt,212
10013@novasbe.pt,4
10013@novasbe.pt,201
10013@novasbe.pt,69
10013@novasbe.pt,182
10013@novasbe.pt,129
10013@novasbe.pt,192
10013@novasbe.pt,79
10014@novasbe.pt,39
10014@novasbe.pt,90
10014@novasbe.pt,200
10014@novasbe.pt,148
10015@novasbe.pt,23
10015@novasbe.pt,123
10015@novasbe.pt,176
10015@novasbe.pt,5
10015@novasbe.pt,167
10016@novasbe.pt,136
